Year,Country,Primary Enrollment,Secondary Enrollment,Tertiary Enrollment
YR1970,Afghanistan,33.4200096130371,8.88566017150879,0.806509971618652
YR1971,Afghanistan,34.3313407897949,9.95170974731445,0.97723001241684
YR1972,Afghanistan,34.7526817321777,11.0403900146484,1.01449000835419
YR1973,Afghanistan,35.2143707275391,11.5786199569702,1.17183995246887
YR1974,Afghanistan,35.7608299255371,11.7392597198486,1.09765005111694
YR1975,Afghanistan,36.7159118652344,12.2571201324463,1.19384002685547
YR1976,Afghanistan,37.6015090942383,13.1584596633911,1.34808003902435
YR1977,Afghanistan,38.3804092407227,13.9991502761841,1.4954400062561
YR1978,Afghanistan,39.6710205078125,14.5838003158569,1.90880000591278
YR1979,Afghanistan,,,2.0331699848175
YR1980,Afghanistan,46.066291809082,17.6115207672119,
YR1981,Afghanistan,52.377140045166,21.2858104705811,
YR1982,Afghanistan,21.8145503997803,13.3190698623657,2.19055008888245
YR1984,Afghanistan,27.0965194702148,15.0001802444458,
YR1985,Afghanistan,27.3577995300293,14.6859302520752,
YR1986,Afghanistan,29.0641803741455,13.2240104675293,2.37948989868164
YR1987,Afghanistan,,,1.88179004192352
YR1988,Afghanistan,37.8462295532227,14.6678104400635,
YR1989,Afghanistan,35.4821014404297,14.1261196136475,
YR1990,Afghanistan,34.5772399902344,12.3093795776367,2.46528005599976
YR1991,Afghanistan,36.1169204711914,19.6126003265381,
YR1993,Afghanistan,36.4765815734863,18.6544399261475,
YR1994,Afghanistan,47.7860984802246,24.9947395324707,
YR1995,Afghanistan,49.6983299255371,23.9882106781006,
YR1998,Afghanistan,34.2968788146973,,
YR1999,Afghanistan,27.298849105835,,
YR2000,Afghanistan,22.1629905700684,,
YR2001,Afghanistan,22.9085903167725,14.4715099334717,
YR2002,Afghanistan,75.9597473144531,,
YR2003,Afghanistan,96.5536804199219,14.078049659729,1.38107001781464
YR2004,Afghanistan,106.252662658691,19.2631397247314,1.38966000080109
YR2005,Afghanistan,100.229690551758,20.3119602203369,
YR2006,Afghanistan,103.932243347168,29.6913509368896,
YR2007,Afghanistan,101.086456298828,29.0891704559326,
YR2008,Afghanistan,103.413963317871,39.090030670166,
YR2009,Afghanistan,99.3697204589844,44.3971710205078,4.02480983734131
YR2010,Afghanistan,102.903442382812,50.413688659668,
YR2011,Afghanistan,100.290298461914,52.198429107666,3.75560998916626
YR2012,Afghanistan,106.283401489258,54.2063903808594,
YR2013,Afghanistan,107.695976257324,54.7542190551758,
YR2014,Afghanistan,109.115516662598,54.235481262207,8.31087017059326
YR2015,Afghanistan,106.182418823242,53.2851409912109,
YR2016,Afghanistan,106.150283813477,53.5063400268555,
YR2017,Afghanistan,106.129997253418,55.4021492004395,
YR2018,Afghanistan,107.780532836914,57.0392990112305,9.96378993988037
YR2019,Afghanistan,110.007507324219,,
YR2020,Afghanistan,,,10.8584403991699
