Year,Country,Primary Enrollment,Secondary Enrollment,Tertiary Enrollment
YR1971,India,78.9816589355469,24.1701202392578,4.99697017669678
YR1972,India,79.8201217651367,24.5211200714111,
YR1973,India,83.1786193847656,24.9130592346191,5.0899600982666
YR1974,India,82.6846771240234,,
YR1975,India,83.4416122436523,25.6306705474854,
YR1976,India,82.9207916259766,25.8382606506348,5.10794019699097
YR1977,India,85.6396636962891,26.4142303466797,4.9244499206543
YR1978,India,81.915901184082,26.8316993713379,5.05035018920898
YR1979,India,81.7052230834961,,5.01270008087158
YR1980,India,83.0520095825195,29.069429397583,5.01389980316162
YR1981,India,84.4031600952148,30.5206909179688,5.30499982833862
YR1982,India,85.0793762207031,32.0257911682129,4.99417018890381
YR1983,India,87.14306640625,34.0339088439941,5.61353015899658
YR1984,India,88.7920837402344,35.4252891540527,5.91021013259888
YR1985,India,88.7451095581055,,5.88107013702393
YR1986,India,91.0680694580078,37.503360748291,6.04269981384277
YR1987,India,89.2838973999023,37.0344886779785,6.37517023086548
YR1988,India,90.8867797851562,37.1321182250977,5.5646800994873
YR1989,India,94.2683029174805,37.2909393310547,5.7842001914978
YR1990,India,93.7505874633789,,5.98130989074707
YR1991,India,93.34375,,6.06103992462158
YR1992,India,93.5672073364258,,
YR1993,India,95.2196502685547,45.8958511352539,
YR1994,India,95.9053573608398,46.3614311218262,
YR1995,India,95.077018737793,46.2023887634277,5.54008007049561
YR1996,India,94.2771072387695,46.274600982666,6.26949977874756
YR1997,India,93.7279815673828,46.7925491333008,6.55761003494263
YR1998,India,92.0035095214844,,
YR1999,India,92.6203002929688,43.6683311462402,
YR2000,India,93.9977722167969,45.4210510253906,9.65246963500977
YR2001,India,98.9954681396484,48.0781288146973,10.3922300338745
YR2002,India,98.0657272338867,49.2973213195801,10.7845497131348
YR2003,India,106.22322845459,51.9028091430664,11.2758102416992
YR2004,India,,53.6583099365234,11.6037998199463
YR2005,India,,56.3279800415039,11.3199701309204
YR2006,India,,57.2240791320801,12.1438102722168
YR2007,India,114.114318847656,59.5899810791016,13.8339099884033
YR2008,India,114.626556396484,62.6794281005859,15.8141202926636
YR2009,India,113.051681518555,61.8002281188965,16.8205890655518
YR2010,India,112.527946472168,65.3513488769531,18.6971797943115
YR2011,India,109.70790287368,68.5910110473633,23.8253688812256
YR2012,India,111.775573730469,70.3243865966797,24.9402103424072
YR2013,India,113.416778564453,69.9568023681641,24.3906383514404
YR2014,India,111.584541320801,75.3183288574219,25.991325378418
YR2015,India,112.937843322754,74.9483337402344,27.2845668792725
YR2016,India,119.512832641602,76.119987487793,27.3043575286865
YR2017,India,117.868171691895,74.5972671508789,27.9090518951416
YR2018,India,101.097955965022,75.7847900390625,28.5316867828369
YR2019,India,99.5039236144817,75.5255813598633,29.0233592987061
YR2020,India,101.291253449929,77.6271551845716,29.8196392059326
